query_id,query,query_type,expected_year,category,difficulty,system,gold_law,gold_section,n_retrieved,retrieval_time,answer,confidence,generation_time,total_time,precision_at_1,precision_at_3,precision_at_5,recall_at_5,recall_at_10,mrr,ndcg_at_5,temporal_precision_at_1,temporal_precision_at_3,temporal_precision_at_5,version_discrimination,amendment_awareness,temporal_hallucination_rate,cross_era_accuracy,keyword_hit_rate,answer_completeness,confidence_score,latency_seconds
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010.0,temporal_precision,easy,NaiveRAG,"Motor Vehicles Act, 1988",Sec 129,10,0.41099047660827637,"Under the **Motor Vehicles Act, 1988**, specifically **Section 194D**, the penalty for not wearing protective headgear while riding a motorcycle in 2010 was a **fine of one thousand rupees** and **disqualification from holding a license for a period of three months**. This provision was in force until it was superseded. The requirement to wear protective headgear is outlined in **Section 129** of the same Act, which mandates that every person above four years of age, driving or riding a motorcyc",0.7416954040527344,5.185465335845947,5.596455812454224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,0.875,0.7416954040527344,5.596455812454224
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010.0,temporal_precision,easy,BM25,"Motor Vehicles Act, 1988",Sec 129,10,0.12343740463256836,"Under the **Motor Vehicles Act, 1988**, specifically **Section 194D**, the penalty for not wearing protective headgear while riding a motorcycle in 2010 was a **fine of one thousand rupees** and **disqualification from holding a license for three months**. This provision was applicable to anyone driving or riding a motorcycle in contravention of **Section 129**, which mandated the wearing of protective headgear for individuals above four years of age. A notable exception was provided for **Sikhs",0.6,0.5458877086639404,0.6693251132965088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.75,0.875,0.6,0.6693251132965088
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010.0,temporal_precision,easy,LLMOnly,"Motor Vehicles Act, 1988",Sec 129,0,4.76837158203125e-06,"In 2010, the penalty for not wearing a helmet while riding a motorcycle in India was governed by the **Motor Vehicles Act, 1988**, specifically **Section 177**, which outlines penalties for contraventions of the rules. The obligation to wear a helmet was mandated under **Rule 124** of the **Motor Vehicles Rules, 1989**, which required all riders and passengers on two-wheelers to wear helmets. 

**Penalty Details**:  
- **Fine**: ₹1,000 (as per Section 177 of the Motor Vehicles Act, 1988).  
- **",0.5,4.394848585128784,4.394853353500366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.8,0.5,4.394853353500366
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010.0,temporal_precision,easy,TemporalOnly,"Motor Vehicles Act, 1988",Sec 129,10,1.5351300239562988,"In 2010, not wearing a helmet while riding a motorcycle was not directly addressed by the provided legal rules. However, rash or negligent riding, which could include not wearing a helmet, was covered under **The Indian Penal Code, 1860, Section 279**, which was valid from 1860 to 2023. Under this section, a person could be punished with imprisonment for up to six months, or a fine of up to one thousand rupees, or both.

This rule has since changed. The **Motor Vehicles Act, 1988**, and subseque",0.7,1.0194249153137207,2.5545549392700195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.16666666666666666,0.5,0.75,0.675,0.7,2.5545549392700195
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010.0,temporal_precision,easy,PV-RAG-NoGraph,"Motor Vehicles Act, 1988",Sec 129,10,0.4581418037414551,"In 2010, the penalty for not wearing a helmet while riding a motorcycle was a fine of one thousand rupees and disqualification from holding a license for three months. This was governed under **The Motor Vehicles Act, 1988**, **Section 194D**, which was in effect during that period (1988 to 1988). The provision penalized violations of **Section 129**, which mandated the wearing of protective headgear for all persons above four years of age riding or driving a motorcycle in public places.

These ",0.7,0.732579231262207,1.190721035003662,1.0,1.0,0.8,1.0,1.0,1.0,0.8687949224876582,0.0,0.0,0.2,0.1,0.5,0.0,1.0,1.0,1.0,0.7,1.190721035003662
TP-001,What was the penalty for not wearing a helmet while riding a motorcycle in 2010?,HISTORICAL_POINT,2010.0,temporal_precision,easy,PV-RAG,"Motor Vehicles Act, 1988",Sec 129,10,0.37810826301574707,"In 2010, the penalty for not wearing a helmet while riding a motorcycle was a fine of one thousand rupees and disqualification from holding a license for three months. This was under **The Motor Vehicles Act, 1988, Section 194D**, which was in effect during that period (1988–1988) and remained applicable in 2010.

The rule has since changed. The current provisions are governed by the updated **Motor Vehicles Act, 1988**, as amended by the **Motor Vehicles (Amendment) Act, 2019**, which came into",0.7916954040527344,0.5992002487182617,0.9773085117340088,1.0,1.0,0.8,1.0,1.0,1.0,0.8687949224876582,0.0,0.0,0.2,0.1,0.5,0.16666666666666666,1.0,1.0,0.8,0.7916954040527344,0.9773085117340088
TP-002,What was the fine for drunk driving in India in 2005?,HISTORICAL_POINT,2005.0,temporal_precision,easy,NaiveRAG,"Motor Vehicles Act, 1988",Sec 185,10,0.07528305053710938,"In 2005, the fine for drunk driving in India was governed by the **Motor Vehicles Act, 1988**, under **Section 186**, which was valid in 1988 and superseded later. This section imposed a fine of up to **one thousand rupees** for the first offense for driving while mentally or physically unfit, including under the influence of alcohol. No other retrieved rules specifically address drunk driving penalties for 2005.",0.7270839154720307,0.4407048225402832,0.5159878730773926,0.0,0.3333333333333333,0.2,1.0,1.0,0.5,0.38685280723454163,0.0,0.0,0.4,0.125,0.0,0.0,1.0,0.75,0.675,0.7270839154720307,0.5159878730773926
TP-002,What was the fine for drunk driving in India in 2005?,HISTORICAL_POINT,2005.0,temporal_precision,easy,BM25,"Motor Vehicles Act, 1988",Sec 185,10,0.09984803199768066,"The retrieved legal rules do not provide specific information about the fine for drunk driving in India in 2005. None of the cited sections from THE AIR FORCE ACT, 1950, THE AIRPORTS AUTHORITY OF INDIA ACT, 1994, THE MOTOR VEHICLES ACT, 1988, THE ARMY ACT, 1950, or THE INDIAN PENAL CODE directly address the penalties for drunk driving in 2005. Therefore, based on the provided information, it is not possible to determine the fine for drunk driving in India in 2005.",0.6,0.4084033966064453,0.508251428604126,0.0,0.3333333333333333,0.2,1.0,1.0,0.3333333333333333,0.23463936301137822,0.0,0.3333333333333333,0.4,0.25,0.0,0.0,1.0,0.75,0.675,0.6,0.508251428604126
TP-002,What was the fine for drunk driving in India in 2005?,HISTORICAL_POINT,2005.0,temporal_precision,easy,LLMOnly,"Motor Vehicles Act, 1988",Sec 185,0,5.4836273193359375e-06,"In 2005, the fine for drunk driving in India was governed by **Section 185B of the Motor Vehicles Act, 1988**. The penalties were as follows:

1. **Fine**: A person convicted of driving under the influence of alcohol was liable to a **fine of ₹2,000** (Rupees Two Thousand).  
2. **Imprisonment**: The offense could also result in **imprisonment for up to six months**.  
3. **License Suspension**: The driver’s license could be suspended for a period determined by the court.  

### Key Provisions:
",0.5,3.687230110168457,3.6872355937957764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.875,0.5,3.6872355937957764
TP-002,What was the fine for drunk driving in India in 2005?,HISTORICAL_POINT,2005.0,temporal_precision,easy,TemporalOnly,"Motor Vehicles Act, 1988",Sec 185,10,0.272813081741333,"In 2005, under the Indian Penal Code, Section 304A (not listed in your provided rules) governed punishment for causing death by negligence, which included drunk driving. However, for public intoxication, Section 510 of the Indian Penal Code applied, imposing a fine of up to 10 rupees or simple imprisonment for up to 24 hours. 

Act: THE INDIAN PENAL CODE  
Section: Sec510  
Valid: 1860 to 2023  

Since 2005, the Motor Vehicles Act, 1988, and subsequent amendments have introduced stricter penalti",0.7,1.6711795330047607,1.9439926147460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.75,0.675,0.7,1.9439926147460938
